#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Replicons,Scaffolds,Release Date
"Staphylococcus schleiferi","Bacteria;Terrabacteria group;Firmicutes","TSCC54","SAMD00039081","PRJDB4158","GCA_001548255.1","Complete","chromosome Unknown:NZ_AP014944.1/AP014944.1",1,"2015-09-17T00:00:00Z"
"Chondromyces crocatus","Bacteria;Proteobacteria;delta/epsilon subdivisions","Cm c5","SAMN03651481","PRJNA283496","GCA_001189295.1","Complete","chromosome:NZ_CP012159.1/CP012159.1",1,"2015-07-30T00:00:00Z"
"Achromobacter spanius","Bacteria;Proteobacteria;Betaproteobacteria","NCTC13519","SAMEA3724092","PRJEB6403","GCA_900636675.1","Complete","chromosome 1:NZ_LR134302.1/LR134302.1",1,"2018-12-19T00:00:00Z"
"Luteipulveratus mongoliensis","Bacteria;Terrabacteria group;Actinobacteria","MN07-A0370","SAMN03421079","PRJNA278633","GCA_001190945.1","Complete","chromosome:NZ_CP011112.1/CP011112.1",1,"2015-08-03T00:00:00Z"
"Jeotgalibaca dankookensis","Bacteria;Terrabacteria group;Firmicutes","EX-07","SAMN06241153","PRJNA362679","GCA_002005405.1","Complete","chromosome:NZ_CP019728.1/CP019728.1; plasmid unnamed:NZ_CP019729.1/CP019729.1",2,"2017-02-21T00:00:00Z"
"Schaalia meyeri","Bacteria;Terrabacteria group;Actinobacteria","W712","SAMN03704036","PRJNA282954","GCA_001262055.1","Complete","chromosome:NZ_CP012072.1/CP012072.1",1,"2015-08-06T00:00:00Z"
"Spiroplasma turonicum","Bacteria;Terrabacteria group;Tenericutes","Tab4c","SAMN04219521","PRJNA253654","GCA_001513715.1","Complete","chromosome:NZ_CP013860.1/CP013860.1",1,"2016-01-12T00:00:00Z"
"Vulgatibacter incomptus","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 27710","SAMN03951128","PRJNA291649","GCA_001263175.1","Complete","chromosome:NZ_CP012332.1/CP012332.1",1,"2015-08-07T00:00:00Z"
"Labilithrix luteola","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 27648","SAMN03951129","PRJNA291650","GCA_001263205.1","Complete","chromosome:NZ_CP012333.1/CP012333.1",1,"2015-08-07T00:00:00Z"
"Microcystis panniformis FACHB-1757","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","FACHB-1757","SAMN03392520","PRJNA277430","GCA_001264245.1","Complete","chromosome:CP011339.1",1,"2015-08-11T00:00:00Z"
"Spiroplasma litorale","Bacteria;Terrabacteria group;Tenericutes","TN-1","SAMN03938703","PRJNA253651","GCA_001267155.1","Complete","chromosome:NZ_CP012357.1/CP012357.1",1,"2015-08-13T00:00:00Z"
"Oblitimonas alkaliphila","Bacteria;Proteobacteria;Gammaproteobacteria","D3318","SAMN03946922","PRJNA291610","GCA_001267255.1","Complete","chromosome:NZ_CP012362.1/CP012362.1",1,"2015-08-13T00:00:00Z"
"Nitrospira moscoviensis","Bacteria;Nitrospirae;Nitrospira","NSP M-1","SAMN03702441","PRJNA283178","GCA_001273775.1","Complete","chromosome:NZ_CP011801.1/CP011801.1",1,"2015-08-25T00:00:00Z"
"Peribacillus butanolivorans","Bacteria;Terrabacteria group;Firmicutes","PHB-7a","SAMN09638240","PRJNA480542","GCA_003410415.1","Complete","chromosome:NZ_CP030926.1/CP030926.1",1,"2018-08-15T00:00:00Z"
"Corynebacterium lactis RW2-5","Bacteria;Terrabacteria group;Actinobacteria","RW2-5","SAMN04012704","PRJNA222474","GCA_001274895.1","Complete","chromosome:NZ_CP006841.1/CP006841.1",1,"2015-08-26T00:00:00Z"
"Corynebacterium deserti GIMN1.010","Bacteria;Terrabacteria group;Actinobacteria","GIMN1.010","SAMN02950576","PRJNA222609","GCA_001277995.1","Complete","chromosome:NZ_CP009220.1/CP009220.1; plasmid pCdes1:NZ_CP009221.1/CP009221.1; plasmid pCdes2:NZ_CP009222.1/CP009222.1",3,"2015-09-02T00:00:00Z"
"Spiroplasma cantharicola","Bacteria;Terrabacteria group;Tenericutes","CC-1","SAMN03955382","PRJNA253642","GCA_001281045.1","Complete","chromosome:NZ_CP012622.1/CP012622.1",1,"2015-09-11T00:00:00Z"
"Bartonella ancashensis","Bacteria;Proteobacteria;Alphaproteobacteria","20.00","SAMN02803869","PRJNA248888","GCA_001281405.1","Complete","chromosome:NZ_CP010401.1/CP010401.1",1,"2015-09-14T00:00:00Z"
"Altererythrobacter epoxidivorans","Bacteria;Proteobacteria;Alphaproteobacteria","CGMCC 1.7731","SAMN03896005","PRJNA290561","GCA_001281485.1","Complete","chromosome:NZ_CP012669.1/CP012669.1",1,"2015-09-14T00:00:00Z"
"Lawsonella clevelandensis","Bacteria;Terrabacteria group;Actinobacteria","X1036","SAMN02943398","PRJNA256353","GCA_001293125.1","Complete","chromosome:NZ_CP009312.1/CP009312.1",1,"2015-09-17T00:00:00Z"
"Thermoactinomyces vulgaris","Bacteria;Terrabacteria group;Firmicutes","2H","SAMN11483338","PRJNA534300","GCA_005886755.1","Complete","chromosome:NZ_CP039710.1/CP039710.1; plasmid pTvu19:NZ_CP039711.1/CP039711.1",2,"2019-05-29T00:00:00Z"
"Comamonas kerstersii","Bacteria;Proteobacteria;Betaproteobacteria","8943","SAMN06562982","PRJNA378865","GCA_002056725.1","Complete","chromosome:NZ_CP020121.1/CP020121.1",1,"2017-03-21T00:00:00Z"
"Arthrobacter alpinus","Bacteria;Terrabacteria group;Actinobacteria","A3","SAMN03010510","PRJNA259694","GCA_000755585.2","Complete","chromosome:NZ_CP013745.1/CP013745.1; plasmid unnamed:NZ_CP013746.1/CP013746.1",2,"2016-01-04T00:00:00Z"
"Bosea vaviloviae","Bacteria;Proteobacteria;Alphaproteobacteria","Vaf18","SAMN05730837","PRJNA316801","GCA_001741865.1","Complete","chromosome:NZ_CP017147.1/CP017147.1; plasmid unnamed1:NZ_CP017148.1/CP017148.1",2,"2016-09-21T00:00:00Z"
"Psychrobacter urativorans","Bacteria;Proteobacteria;Gammaproteobacteria","R10.10B","SAMN04076494","PRJNA295628","GCA_001298525.1","Complete","chromosome:NZ_CP012678.1/CP012678.1; plasmid 1:NZ_CP012707.1/CP012707.1; plasmid 2:NZ_CP012708.1/CP012708.1; plasmid 3:NZ_CP012709.1/CP012709.1; plasmid 4:NZ_CP012710.1/CP012710.1; plasmid 5:NZ_CP012711.1/CP012711.1",6,"2015-09-24T00:00:00Z"
"Pseudoalteromonas tetraodonis","Bacteria;Proteobacteria;Gammaproteobacteria","GFC","SAMN03380228","PRJNA196225","GCA_002310835.1","Complete","chromosome I:NZ_CP011041.1/CP011041.1; chromosome II:NZ_CP011042.1/CP011042.1",2,"2017-09-18T00:00:00Z"
"Kibdelosporangium phytohabitans","Bacteria;Terrabacteria group;Actinobacteria","KLBMP1111","SAMN03840758","PRJNA289020","GCA_001302585.1","Complete","chromosome:NZ_CP012752.1/CP012752.1",1,"2015-09-29T00:00:00Z"
"Sphingomonas hengshuiensis","Bacteria;Proteobacteria;Alphaproteobacteria","WHSC-8","SAMN03329624","PRJNA274606","GCA_000935025.1","Complete","chromosome:NZ_CP010836.1/CP010836.1; plasmid unnamed:NZ_CP010837.1/CP010837.1",2,"2015-02-26T00:00:00Z"
"Staphylococcus schweitzeri","Bacteria;Terrabacteria group;Firmicutes","NCTC13712","SAMEA3724095","PRJEB6403","GCA_900636685.1","Complete","chromosome 1:NZ_LR134304.1/LR134304.1",1,"2018-12-19T00:00:00Z"
"Celeribacter marinus","Bacteria;Proteobacteria;Alphaproteobacteria","IMCC12053","SAMN03837864","PRJNA280136","GCA_001308265.1","Complete","chromosome:NZ_CP012023.1/CP012023.1",1,"2015-10-08T00:00:00Z"
"Rufibacter tibetensis","Bacteria;FCB group;Bacteroidetes/Chlorobi group","1351","SAMN02711851","PRJNA242661","GCA_001310085.1","Complete","chromosome:NZ_CP012643.1/CP012643.1; plasmid 1:NZ_CP012644.1/CP012644.1; plasmid 2:NZ_CP012645.1/CP012645.1",3,"2015-10-09T00:00:00Z"
"Fructilactobacillus lindneri","Bacteria;Terrabacteria group;Firmicutes","TMW 1.1993","SAMN04505734","PRJNA290141","GCA_001702115.1","Complete","chromosome:NZ_CP014872.1/CP014872.1",1,"2016-08-10T00:00:00Z"
"Secundilactobacillus paracollinoides","Bacteria;Terrabacteria group;Firmicutes","TMW 1.1979","SAMN04505735","PRJNA290141","GCA_001702155.1","Complete","chromosome:NZ_CP014912.1/CP014912.1; plasmid pL11979-1:NZ_CP014913.1/CP014913.1; plasmid pL11979-2:NZ_CP014914.1/CP014914.1",3,"2016-08-10T00:00:00Z"
"Amylolactobacillus amylophilus DSM 20533 = JCM 1125","Bacteria;Terrabacteria group;Firmicutes","DSM 20533","SAMN06162176","PRJNA357931","GCA_001936335.1","Complete","chromosome:NZ_CP018888.1/CP018888.1",1,"2017-01-05T00:00:00Z"
"Lentilactobacillus kefiri","Bacteria;Terrabacteria group;Firmicutes","DH5","SAMN09381536","PRJNA475199","GCA_009739535.1","Complete","chromosome:NZ_CP029971.1/CP029971.1; plasmid pDH5:NZ_CP029972.1/CP029972.1",2,"2019-12-11T00:00:00Z"
"Methylobacterium phyllosphaerae","Bacteria;Proteobacteria;Alphaproteobacteria","CBMB27","SAMN04433067","PRJNA309452","GCA_001936175.1","Complete","chromosome:NZ_CP015367.1/CP015367.1; plasmid CBMB27-p1:NZ_CP015368.1/CP015368.1; plasmid CBMB27-p2:NZ_CP015369.1/CP015369.1; plasmid CBMB27-p3:NZ_CP015370.1/CP015370.1",4,"2017-01-05T00:00:00Z"
"Kosakonia cowanii","Bacteria;Proteobacteria;Gammaproteobacteria","FBS 223","SAMN10739544","PRJNA514952","GCA_004089895.1","Complete","chromosome:NZ_CP035129.1/CP035129.1",1,"2019-01-21T00:00:00Z"
"Stenotrophomonas acidaminiphila","Bacteria;Proteobacteria;Gammaproteobacteria","ZAC14D2_NAIMI4_2","SAMN04099006","PRJNA296415","GCA_001314305.1","Complete","chromosome:NZ_CP012900.1/CP012900.1",1,"2015-10-14T00:00:00Z"
"Blastochloris viridis","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 19567","SAMN04123293","PRJNA297399","GCA_001402875.1","Complete","chromosome:NZ_CP012946.1/CP012946.1",1,"2015-10-22T00:00:00Z"
"Streptomyces pactum","Bacteria;Terrabacteria group;Actinobacteria","ACT12","SAMN04002534","PRJNA374492","GCA_002005225.1","Complete","chromosome:NZ_CP019724.1/CP019724.1",1,"2017-02-21T00:00:00Z"
"Streptomyces kanamyceticus","Bacteria;Terrabacteria group;Actinobacteria","ATCC 12853","SAMN07709093","PRJNA412292","GCA_008704495.1","Complete","chromosome:NZ_CP023699.1/CP023699.1",1,"2019-09-26T00:00:00Z"
"Streptomyces alboniger","Bacteria;Terrabacteria group;Actinobacteria","ATCC 12461","SAMN07709098","PRJNA412292","GCA_008704395.1","Complete","chromosome:NZ_CP023695.1/CP023695.1",1,"2019-09-26T00:00:00Z"
"Rothia kristinae","Bacteria;Terrabacteria group;Actinobacteria","FDAARGOS_864","SAMN13450394","PRJNA231221","GCA_016028855.1","Complete","chromosome:NZ_CP065738.1/CP065738.1",1,"2020-12-14T00:00:00Z"
"Bordetella pseudohinzii","Bacteria;Proteobacteria;Betaproteobacteria","HI4681","SAMN05366640","PRJNA318508","GCA_001698185.1","Complete","chromosome:NZ_CP016440.1/CP016440.1; plasmid unnamed1:NZ_CP016441.1/CP016441.1",2,"2016-08-02T00:00:00Z"
"Rhizobium acidisoli","Bacteria;Proteobacteria;Alphaproteobacteria","FH23","SAMN07627169","PRJNA403813","GCA_002531755.2","Complete","chromosome:NZ_CP034998.1/CP034998.1; plasmid pRapFH23a:NZ_CP034999.1/CP034999.1; plasmid pRapFH23b:NZ_CP035000.1/CP035000.1; plasmid pRapFH23c:NZ_CP035001.1/CP035001.1; plasmid pRapFH23d:NZ_CP035002.1/CP035002.1",5,"2019-01-09T00:00:00Z"
"Liquorilactobacillus nagelii","Bacteria;Terrabacteria group;Firmicutes","TMW 1.1827","SAMN06052354","PRJNA343197","GCA_002850055.1","Complete","chromosome:NZ_CP018180.1/CP018180.1; plasmid pL11827-1:NZ_CP018181.1/CP018181.1; plasmid pL11827-2:NZ_CP018182.1/CP018182.1; plasmid pL11827-3:NZ_CP018183.1/CP018183.1",4,"2018-01-03T00:00:00Z"
"Lentilactobacillus parabuchneri","Bacteria;Terrabacteria group;Firmicutes","FAM21731","SAMN06130972","PRJNA357007","GCA_001922025.1","Complete","chromosome:NZ_CP018796.1/CP018796.1; plasmid pFAM21731.1:NZ_CP018797.1/CP018797.1; plasmid pFAM21731.2:NZ_CP018798.1/CP018798.1",3,"2016-12-27T00:00:00Z"
"Limosilactobacillus pontis","Bacteria;Terrabacteria group;Firmicutes","LP475","SAMN12784819","PRJNA566218","GCA_009428965.1","Complete","chromosome:NZ_CP045530.1/CP045530.1",1,"2019-10-31T00:00:00Z"
"Companilactobacillus futsaii","Bacteria;Terrabacteria group;Firmicutes","Y97","SAMN11890478","PRJNA545382","GCA_006007945.1","Complete","chromosome:NZ_CP040736.1/CP040736.1; plasmid p1:NZ_CP040737.1/CP040737.1; plasmid p2:NZ_CP040738.1/CP040738.1; plasmid p3:NZ_CP040739.1/CP040739.1",4,"2019-06-05T00:00:00Z"
"Limosilactobacillus frumenti","Bacteria;Terrabacteria group;Firmicutes","LF145","SAMN12784883","PRJNA566223","GCA_008876665.1","Complete","chromosome:NZ_CP044534.1/CP044534.1",1,"2019-10-08T00:00:00Z"
"Lapidilactobacillus dextrinicus","Bacteria;Terrabacteria group;Firmicutes","LH506","SAMN12777614","PRJNA566017","GCA_008831385.1","Complete","chromosome:NZ_CP044499.1/CP044499.1",1,"2019-10-07T00:00:00Z"
"Latilactobacillus graminis","Bacteria;Terrabacteria group;Firmicutes","LG542","SAMN12777627","PRJNA566018","GCA_009025875.1","Complete","chromosome:NZ_CP045007.1/CP045007.1",1,"2019-10-14T00:00:00Z"
"Weissella viridescens","Bacteria;Terrabacteria group;Firmicutes","NJ100","SAMN16229483","PRJNA664658","GCA_014789145.1","Complete","chromosome:NZ_CP061835.1/CP061835.1",1,"2020-09-29T00:00:00Z"
"Pediococcus inopinatus","Bacteria;Terrabacteria group;Firmicutes","DSM 20285","SAMN06447728","PRJNA376812","GCA_002982135.1","Complete","chromosome:NZ_CP019981.1/CP019981.1; plasmid pLDW-12:NZ_CP019982.1/CP019982.1; plasmid pLDW-13:NZ_CP019983.1/CP019983.1; plasmid pLDW-14:NZ_CP019984.1/CP019984.1",4,"2018-03-08T00:00:00Z"
"Pseudomonas orientalis","Bacteria;Proteobacteria;Gammaproteobacteria","8B","SAMN08359171","PRJNA433211","GCA_003852045.1","Complete","chromosome:NZ_CP027723.1/CP027723.1",1,"2018-11-29T00:00:00Z"
"Bacillus paralicheniformis","Bacteria;Terrabacteria group;Firmicutes","Bac84","SAMN07701716","PRJNA412146","GCA_002993925.1","Complete","chromosome:NZ_CP023665.1/CP023665.1",1,"2018-03-12T00:00:00Z"
"Bacillus glycinifermentans","Bacteria;Terrabacteria group;Firmicutes","BGLY","SAMEA4348063","PRJEB13402","GCA_900093775.1","Complete","chromosome 1:NZ_LT603683.1/LT603683.1",1,"2016-08-02T00:00:00Z"
"Roseovarius indicus","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 26383","SAMN09772271","PRJNA484900","GCA_008728195.1","Complete","chromosome:NZ_CP031598.1/CP031598.1; plasmid pRIdsm_01:NZ_CP031599.1/CP031599.1; plasmid pRIdsm_02:NZ_CP031600.1/CP031600.1; plasmid pRIdsm_03:NZ_CP031601.1/CP031601.1; plasmid pRIdsm_04:NZ_CP031602.1/CP031602.1",5,"2019-09-30T00:00:00Z"
"Sneathia vaginalis","Bacteria;Fusobacteria;Fusobacteriia","SN35","SAMN03380727","PRJNA276758","GCA_000973085.1","Complete","chromosome:NZ_CP011280.1/CP011280.1",1,"2015-04-17T00:00:00Z"
"Lentibacillus amyloliquefaciens","Bacteria;Terrabacteria group;Firmicutes","LAM0015","SAMN04103130","PRJNA296764","GCA_001307805.2","Complete","chromosome:NZ_CP013862.1/CP013862.1",1,"2016-01-12T00:00:00Z"
"Lysobacter enzymogenes","Bacteria;Proteobacteria;Gammaproteobacteria","M497-1","SAMD00025316","PRJDB3483","GCA_002355975.1","Complete","chromosome:NZ_AP014940.1/AP014940.1",1,"2016-11-25T00:00:00Z"
"Lysobacter gummosus","Bacteria;Proteobacteria;Gammaproteobacteria","3.2.11","SAMN03275729","PRJNA271656","GCA_001442805.1","Complete","chromosome:NZ_CP011131.1/CP011131.1",1,"2015-11-12T00:00:00Z"
"Salinivirga cyanobacteriivorans","Bacteria;FCB group;Bacteroidetes/Chlorobi group","L21-Spi-D4","SAMN04215233","PRJNA299794","GCA_001443605.1","Complete","chromosome:NZ_CP013118.1/CP013118.1",1,"2015-11-13T00:00:00Z"
"Pseudoalteromonas phenolica","Bacteria;Proteobacteria;Gammaproteobacteria","KCTC 12086","SAMN04259808","PRJNA301786","GCA_001444405.1","Complete","chromosome I:NZ_CP013187.1/CP013187.1; chromosome II:NZ_CP013188.1/CP013188.1",2,"2015-11-17T00:00:00Z"
"Pseudohongiella spirulinae","Bacteria;Proteobacteria;Gammaproteobacteria","KCTC 32221","SAMN04260401","PRJNA301918","GCA_001444425.1","Complete","chromosome:NZ_CP013189.1/CP013189.1",1,"2015-11-17T00:00:00Z"
"Halocynthiibacter arcticus","Bacteria;Proteobacteria;Alphaproteobacteria","PAMC 20958","SAMN03252591","PRJNA269208","GCA_000812665.2","Complete","chromosome:NZ_CP014327.1/CP014327.1; plasmid unnamed:NZ_CP014328.1/CP014328.1",2,"2016-02-25T00:00:00Z"
"Acinetobacter equi","Bacteria;Proteobacteria;Gammaproteobacteria","114","SAMN04110325","PRJNA296861","GCA_001307195.1","Complete","chromosome:NZ_CP012808.1/CP012808.1",1,"2015-10-06T00:00:00Z"
"Leptospira mayottensis","Bacteria;Spirochaetes;Spirochaetia","VS2413","SAMN09464718","PRJNA477299","GCA_003429505.1","Complete","chromosome I:NZ_CP030142.1/CP030142.1; chromosome II:NZ_CP030143.1/CP030143.1",2,"2018-08-28T00:00:00Z"
"Nitrosomonas ureae","Bacteria;Proteobacteria;Betaproteobacteria","Nm10","SAMN04305135","PRJNA304608","GCA_001455205.1","Complete","chromosome:NZ_CP013341.1/CP013341.1",1,"2015-12-02T00:00:00Z"
"Pseudoalteromonas issachenkonii","Bacteria;Proteobacteria;Gammaproteobacteria","KMM 3549","SAMN03380225","PRJNA196215","GCA_002310795.1","Complete","chromosome I:NZ_CP011030.1/CP011030.1; chromosome II:NZ_CP011031.1/CP011031.1",2,"2017-09-18T00:00:00Z"
"Mycobacteroides saopaulense","Bacteria;Terrabacteria group;Actinobacteria","EPM10906","SAMN03225541","PRJNA268854","GCA_001456355.1","Complete","chromosome:NZ_CP010271.1/CP010271.1",1,"2015-12-03T00:00:00Z"
"Thalassobius gelatinovorus","Bacteria;Proteobacteria;Alphaproteobacteria","NEB572","SAMN14544152","PRJNA622823","GCA_012295595.1","Complete","chromosome:NZ_CP051181.1/CP051181.1; plasmid pAge77:NZ_CP051182.1/CP051182.1",2,"2020-04-15T00:00:00Z"
"Leisingera aquaemixtae","Bacteria;Proteobacteria;Alphaproteobacteria","R2C4","SAMN12141652","PRJNA480465","GCA_006740765.1","Complete","chromosome:NZ_CP041159.1/CP041159.1; plasmid unnamed1:NZ_CP041156.1/CP041156.1; plasmid unnamed2:NZ_CP041157.1/CP041157.1; plasmid unnamed3:NZ_CP041164.1/CP041164.1; plasmid unnamed4:NZ_CP041158.1/CP041158.1; plasmid unnamed5:NZ_CP041163.1/CP041163.1; plasmid unnamed6:NZ_CP041162.1/CP041162.1; plasmid unnamed7:NZ_CP041161.1/CP041161.1; plasmid unnamed8:NZ_CP041155.1/CP041155.1; plasmid unnamed9:NZ_CP041160.1/CP041160.1",10,"2019-07-08T00:00:00Z"
"Devriesea agamarum","Bacteria;Terrabacteria group;Actinobacteria","IMP2","SAMEA3388572","PRJEB9356","GCA_900070355.1","Complete","chromosome I:NZ_LN849456.1/LN849456.1",1,"2015-07-14T00:00:00Z"
"Paenibacillus naphthalenovorans","Bacteria;Terrabacteria group;Firmicutes","32O-Y","SAMN02910228","PRJNA255122","GCA_001465255.1","Complete","chromosome:NZ_CP013652.1/CP013652.1",1,"2015-12-11T00:00:00Z"
"Pseudoalteromonas translucida","Bacteria;Proteobacteria;Gammaproteobacteria","TAC125","SAMEA3138224","PRJNA15713","GCA_000026085.1","Complete","chromosome I:NC_007481.1/CR954246.1; chromosome II:NC_007482.1/CR954247.1",2,"2005-09-28T00:00:00Z"
"Pandoraea norimbergensis","Bacteria;Proteobacteria;Betaproteobacteria","DSM 11628","SAMN04316854","PRJNA305058","GCA_001465545.3","Complete","chromosome:NZ_CP013480.3/CP013480.3",1,"2015-12-14T00:00:00Z"
"Planococcus rifietoensis","Bacteria;Terrabacteria group;Firmicutes","M8","SAMN04325379","PRJNA305456","GCA_001465795.2","Complete","chromosome:NZ_CP013659.2/CP013659.2",1,"2015-12-14T00:00:00Z"
"Planococcus kocurii","Bacteria;Terrabacteria group;Firmicutes","ATCC 43650","SAMN04331436","PRJNA305663","GCA_001465835.2","Complete","chromosome:NZ_CP013661.2/CP013661.2; plasmid unnamed:NZ_CP013660.2/CP013660.2",2,"2015-12-14T00:00:00Z"
"Legionella adelaidensis","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC12735","SAMEA48402418","PRJEB6403","GCA_900637865.1","Complete","chromosome 1:NZ_LR134410.1/LR134410.1; plasmid 2:NZ_LR134411.1/LR134411.1; plasmid 3:NZ_LR134412.1/LR134412.1; plasmid 4:NZ_LR134413.1/LR134413.1; plasmid 5:NZ_LR134414.1/LR134414.1; plasmid 6:NZ_LR134415.1/LR134415.1; plasmid 7:NZ_LR134416.1/LR134416.1; plasmid 8:NZ_LR134417.1/LR134417.1; plasmid 9:NZ_LR134418.1/LR134418.1; plasmid 10:NZ_LR134419.1/LR134419.1; plasmid 11:NZ_LR134420.1/LR134420.1; plasmid 12:NZ_LR134421.1/LR134421.1; plasmid 13:NZ_LR134422.1/LR134422.1; plasmid 14:NZ_LR134423.1/LR134423.1; plasmid 15:NZ_LR134424.1/LR134424.1; plasmid 16:NZ_LR134425.1/LR134425.1; plasmid 17:NZ_LR134426.1/LR134426.1; plasmid 18:NZ_LR134427.1/LR134427.1; plasmid 19:NZ_LR134428.1/LR134428.1; plasmid 20:NZ_LR134429.1/LR134429.1; plasmid 21:NZ_LR134430.1/LR134430.1; plasmid 22:NZ_LR134431.1/LR134431.1; plasmid 23:NZ_LR134432.1/LR134432.1; plasmid 24:NZ_LR134433.1/LR134433.1; plasmid 25:NZ_LR134434.1/LR134434.1; plasmid 26:NZ_LR134435.1/LR134435.1; plasmid 27:NZ_LR134436.1/LR134436.1; plasmid 28:NZ_LR134437.1/LR134437.1; plasmid 29:NZ_LR134438.1/LR134438.1",29,"2018-12-19T00:00:00Z"
"Legionella israelensis","Bacteria;Proteobacteria;Gammaproteobacteria","HL-0427-4011","SAMN11233593","PRJNA528641","GCA_004564155.1","Complete","chromosome:NZ_CP038254.1/CP038254.1",1,"2019-04-02T00:00:00Z"
"Legionella waltersii","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC13017","SAMEA4504053","PRJEB6403","GCA_900187095.1","Complete","chromosome 1:NZ_LT906442.1/LT906442.1",1,"2017-08-15T00:00:00Z"
"Legionella spiritensis","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC12082","SAMEA44548168","PRJEB6403","GCA_900637495.1","Complete","chromosome 1:NZ_LR134374.1/LR134374.1",1,"2018-12-19T00:00:00Z"
"Alteromonas mediterranea","Bacteria;Proteobacteria;Gammaproteobacteria","AltCH17","SAMN12078942","PRJNA549263","GCA_009759785.1","Complete","chromosome:NZ_CP046670.1/CP046670.1",1,"2019-12-17T00:00:00Z"
"Kocuria flava","Bacteria;Terrabacteria group;Actinobacteria","HO-9041","SAMN04270876","PRJNA302237","GCA_001482365.1","Complete","chromosome:NZ_CP013254.1/CP013254.1; plasmid 1:NZ_CP013255.1/CP013255.1; plasmid 2:NZ_CP013256.1/CP013256.1; plasmid 3:NZ_CP013257.1/CP013257.1; plasmid 4:NZ_CP013258.1/CP013258.1",5,"2015-12-24T00:00:00Z"
"Acinetobacter seifertii","Bacteria;Proteobacteria;Gammaproteobacteria","S21","SAMN17035494","PRJNA565663","GCA_016064815.1","Complete","chromosome:NZ_CP065820.1/CP065820.1",1,"2020-12-15T00:00:00Z"
"Serinicoccus chungangensis","Bacteria;Terrabacteria group;Actinobacteria","CCUG 59777","SAMN11927947","PRJNA545772","GCA_006337125.1","Complete","chromosome:NZ_CP040887.1/CP040887.1",1,"2019-06-13T00:00:00Z"
"Roseateles depolymerans","Bacteria;Proteobacteria;Betaproteobacteria","KCTC 42856","SAMN04363976","PRJNA306798","GCA_001483865.1","Complete","chromosome:NZ_CP013729.1/CP013729.1",1,"2016-01-04T00:00:00Z"
"Acetobacter senegalensis","Bacteria;Proteobacteria;Alphaproteobacteria","108B","SAMEA2738517","PRJEB7128","GCA_001499615.1","Complete","chromosome I:NZ_LN606600.1/LN606600.1; plasmid 1P:NZ_LN606601.1/LN606601.1",2,"2016-01-03T00:00:00Z"
"Thermus parvatiensis","Bacteria;Terrabacteria group;Deinococcus-Thermus","RL","SAMN04387723","PRJNA308159","GCA_001535545.1","Complete","chromosome:NZ_CP014141.1/CP014141.1; plasmid pTP143:NZ_CP014142.1/CP014142.1",2,"2016-01-25T00:00:00Z"
"Staphylococcus auricularis","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_882","SAMN13450412","PRJNA231221","GCA_016028295.1","Complete","chromosome:NZ_CP065712.1/CP065712.1",1,"2020-12-14T00:00:00Z"
"Deinococcus actinosclerus","Bacteria;Terrabacteria group;Deinococcus-Thermus","BM2","SAMN04325383","PRJNA305458","GCA_001507665.1","Complete","chromosome:NZ_CP013910.1/CP013910.1",1,"2016-01-08T00:00:00Z"
"Aeromicrobium erythreum","Bacteria;Terrabacteria group;Actinobacteria","AR18","SAMN03701813","PRJNA284384","GCA_001509405.1","Complete","chromosome:NZ_CP011502.1/CP011502.1",1,"2016-01-08T00:00:00Z"
"Mesorhizobium erdmanii","Bacteria;Proteobacteria;Alphaproteobacteria","NZP2014","SAMN05172962","PRJNA496338","GCA_013170725.1","Complete","chromosome:NZ_CP033361.1/CP033361.1",1,"2020-05-26T00:00:00Z"
"Paenibacillus bovis","Bacteria;Terrabacteria group;Firmicutes","BD3526","SAMN04193493","PRJNA299093","GCA_001421015.2","Complete","chromosome:NZ_CP013023.1/CP013023.1; plasmid unnamed1:NZ_CP021170.1/CP021170.1",2,"2015-10-30T00:00:00Z"
"Streptomyces griseorubiginosus","Bacteria;Terrabacteria group;Actinobacteria","3E-1","SAMN09725998","PRJNA483085","GCA_003595235.1","Complete","chromosome:NZ_CP032427.1/CP032427.1",1,"2018-09-25T00:00:00Z"
"Bacillus halotolerans","Bacteria;Terrabacteria group;Firmicutes","ZB201702","SAMN09095924","PRJNA470606","GCA_004006435.1","Complete","chromosome:NZ_CP029364.1/CP029364.1",1,"2019-01-09T00:00:00Z"
"Erwinia gerundensis","Bacteria;Proteobacteria;Gammaproteobacteria","E_g_EM595","SAMEA3650399","PRJEB11465","GCA_001517405.1","Complete","chromosome 1:NZ_LN907827.1/LN907827.1; plasmid pEM01:NZ_LN907828.1/LN907828.1; plasmid pEM02:NZ_LN907829.1/LN907829.1",3,"2016-01-07T00:00:00Z"
